HolidayDate,HolidayName
2004-01-01,New Year's Day
2004-01-19,"Birthday of Martin Luther King, Jr."
2004-02-16,Washington's Birthday
2004-05-31,Memorial Day
2004-07-05,Independence Day
2004-09-06,Labor Day
2004-10-11,Columbus Day
2004-11-11,Veterans Day
2004-11-25,Thanksgiving Day
2004-12-24,Christmas Day
2005-12-04,New Year's Day
2005-01-17,"Birthday of Martin Luther King, Jr."
2005-02-21,Washington's Birthday
2005-05-30,Memorial Day
2005-07-04,Independence Day
2005-09-05,Labor Day
2005-10-10,Columbus Day
2005-11-11,Veterans Day
2005-11-24,Thanksgiving Day
2005-12-26,Christmas Day
2006-01-02,New Year's Day
2006-01-16,"Birthday of Martin Luther King, Jr."
2006-02-20,Washington's Birthday
2006-05-29,Memorial Day
2006-07-04,Independence Day
2006-09-04,Labor Day
2006-10-09,Columbus Day
2006-11-10,Veterans Day
2006-11-23,Thanksgiving Day
2006-12-25,Christmas Day
2007-01-01,New Year's Day
2007-01-15,"Birthday of Martin Luther King, Jr."
2007-02-19,Washington's Birthday
2007-05-28,Memorial Day
2007-07-04,Independence Day
2007-09-03,Labor Day
2007-10-08,Columbus Day
2007-11-12,Veterans Day
2007-11-22,Thanksgiving Day
2007-12-25,Christmas Day
2008-01-01,New Year's Day
2008-01-21,"Birthday of Martin Luther King, Jr."
2008-02-18,Washington's Birthday
2008-05-26,Memorial Day
2008-07-04,Independence Day
