station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2008,6,30,,,,,,,75,76,78,79,80,83,84,86,88,89,90,85,85,82,80,78,74,74
1,2008,7,1,74,74,73,72,72,72,73,78,78,80,81,81,81,81,82,81,81,81,80,78,74,75,71,71
1,2008,7,2,71,69,68,67,67,66,70,75,78,80,81,82,83,84,84,86,85,85,81,79,76,76,74,74
1,2008,7,3,72,69,71,71,71,70,72,78,81,83,84,87,90,90,91,89,89,86,84,82,81,79,79,78
1,2008,7,4,78,78,78,78,77,76,77,80,81,82,86,88,89,91,91,88,85,86,83,82,81,77,74,75
1,2008,7,5,75,73,72,74,74,72,74,76,78,78,81,82,83,81,83,80,83,81,78,76,74,74,74,74
1,2008,7,6,72,72,72,72,72,72,74,76,78,79,80,81,81,83,82,84,82,83,81,79,76,77,77,75
1,2008,7,7,74,75,74,71,71,70,72,76,79,82,86,87,87,86,87,88,88,88,87,84,81,79,79,78
2,2008,6,30,,,,,,,64,67,69,72,75,76,75,76,75,77,77,74,69,68,67,66,65,62
2,2008,7,1,60,60,59,58,55,55,59,62,65,67,67,69,70,70,72,74,73,72,71,69,65,61,59,57
2,2008,7,2,55,55,53,52,51,51,53,58,65,71,75,77,78,79,80,81,81,80,79,76,68,64,63,61
2,2008,7,3,59,58,57,56,55,56,58,64,70,75,78,81,83,85,85,85,85,83,82,77,73,68,67,66
2,2008,7,4,65,66,65,65,65,64,66,69,72,75,77,81,82,81,79,79,78,79,77,76,72,73,70,70
2,2008,7,5,69,68,68,66,66,66,66,67,68,71,73,75,76,76,78,77,77,78,75,73,71,71,70,70
2,2008,7,6,68,68,68,66,67,66,66,68,68,70,72,74,77,79,78,77,76,74,74,72,69,69,67,68
2,2008,7,7,68,68,66,65,65,65,65,67,68,72,76,79,79,81,80,80,78,68,66,68,66,67,66,65
3,2008,6,30,,,,,,,73,74,75,76,80,81,83,84,85,85,85,83,79,74,71,69,69,66
3,2008,7,1,63,64,65,62,62,64,66,69,72,74,75,78,79,80,81,82,80,82,80,77,74,71,68,68
3,2008,7,2,68,67,67,66,65,60,67,72,75,78,79,81,82,83,83,83,83,82,81,78,69,69,68,70
3,2008,7,3,68,68,67,67,67,68,69,74,78,80,82,85,86,87,89,89,88,87,85,81,79,77,76,75
3,2008,7,4,74,74,74,74,74,74,73,75,77,80,81,83,84,86,86,86,85,85,83,77,70,68,68,68
3,2008,7,5,69,69,69,69,70,70,71,71,73,73,74,76,77,78,80,79,80,78,78,75,75,73,72,72
3,2008,7,6,72,73,72,72,71,71,71,73,76,80,81,81,81,80,80,80,80,80,79,76,74,73,72,73
3,2008,7,7,73,73,72,72,72,71,73,76,76,80,80,83,83,84,85,85,85,83,83,81,78,77,76,73
4,2008,6,30,,,,,,,71,72,75,77,80,83,86,88,90,90,90,89,87,82,77,77,77,75
4,2008,7,1,72,71,70,69,67,65,66,70,73,78,80,81,82,84,85,86,85,84,83,80,77,74,72,68
4,2008,7,2,66,65,65,64,63,63,64,70,75,79,81,83,84,87,87,88,87,87,85,82,73,69,68,66
4,2008,7,3,65,68,68,68,67,66,69,73,78,81,85,88,90,90,92,91,92,91,90,86,81,80,79,78
4,2008,7,4,76,75,74,73,73,73,73,76,80,83,87,90,93,95,96,96,94,92,91,86,81,76,74,73
4,2008,7,5,72,72,72,72,72,72,72,72,75,79,80,80,82,84,86,85,83,75,74,71,71,71,72,71
4,2008,7,6,70,71,71,71,71,71,71,72,74,76,79,80,81,83,85,84,86,85,82,79,75,73,73,72
4,2008,7,7,72,72,72,70,71,71,70,72,74,77,79,82,84,85,87,88,88,88,86,84,81,80,79,77
5,2008,6,30,,,,,,,73,74,75,77,80,82,83,85,84,83,85,84,81,79,71,71,69,68
5,2008,7,1,69,68,66,67,67,66,68,70,72,74,77,79,81,81,82,83,82,82,82,80,77,72,72,71
5,2008,7,2,70,69,67,66,66,66,68,72,76,78,80,82,83,85,85,84,84,83,82,79,74,71,72,70
5,2008,7,3,69,68,67,67,67,68,71,75,79,83,86,88,91,91,92,90,90,89,87,83,79,77,75,75
5,2008,7,4,74,73,73,72,70,71,72,76,77,80,81,84,86,86,89,88,87,82,80,79,75,69,68,69
5,2008,7,5,70,70,70,70,70,70,71,72,73,74,75,76,77,79,80,79,78,78,78,76,75,74,73,73
5,2008,7,6,73,74,73,73,73,71,72,74,75,75,77,78,78,78,77,76,77,77,77,75,75,74,73,73
5,2008,7,7,74,74,73,72,72,73,74,75,77,78,80,83,83,85,85,86,86,84,84,82,78,77,76,75
6,2008,6,30,,,,,,,69,71,73,78,80,82,84,84,84,84,84,82,79,77,73,72,70,67
6,2008,7,1,66,65,65,64,62,61,63,68,71,73,75,77,78,79,80,80,78,78,78,76,70,67,65,62
6,2008,7,2,61,61,59,59,57,58,59,66,71,77,79,82,82,84,85,86,86,85,84,80,70,67,68,65
6,2008,7,3,63,65,63,63,61,62,64,69,76,79,82,86,88,89,89,89,89,88,87,82,77,73,72,72
6,2008,7,4,71,71,69,69,69,67,70,73,78,81,85,88,90,90,89,85,84,85,82,79,76,77,73,73
6,2008,7,5,72,72,71,70,70,71,70,71,72,75,75,77,79,80,81,80,75,76,75,74,73,73,73,72
6,2008,7,6,72,71,71,70,71,71,71,72,73,73,75,78,80,84,83,84,83,83,81,79,76,73,72,72
6,2008,7,7,72,72,71,70,71,71,71,71,74,76,77,81,84,86,86,87,86,79,77,76,73,72,72,71
7,2008,6,30,,,,,,,70,72,75,78,80,82,84,84,85,83,84,82,82,80,76,76,73,70
7,2008,7,1,68,66,65,64,64,63,65,69,73,75,76,77,78,80,80,82,78,79,78,76,73,70,68,67
7,2008,7,2,66,66,64,65,64,63,64,69,74,78,80,82,82,84,85,85,85,86,84,82,75,72,71,70
7,2008,7,3,69,67,66,65,65,65,66,70,76,81,85,86,90,90,91,91,90,89,89,85,80,77,77,75
7,2008,7,4,74,74,73,72,71,68,71,74,76,80,82,87,87,89,89,89,87,74,74,73,72,71,71,71
